timestamp,temperature,pressure,vibration,temperature_change,pressure_change,vibration_change,date,time,day_of_week,day_of_week_number,hour,status
2026-01-01 08:00:00,65.60943415950887,5.272772445962782,0.34703586769870337,,,,2026-01-01,08:00:00,Thursday,3,8,Normal
2026-01-01 08:01:00,62.92003178751901,5.179036996394337,0.31353565318131693,-2.689402371989857,-0.09373544956844526,-0.03350021451738644,2026-01-01,08:01:00,Thursday,3,8,Normal
2026-01-01 08:02:00,66.50090239161291,4.856103953343042,0.32927634670820705,3.580870604093903,-0.3229330430512949,0.015740693526890115,2026-01-01,08:02:00,Thursday,3,8,Normal
2026-01-01 08:03:00,66.88112943278243,4.699499308791821,0.38169551888668707,0.380227041169519,-0.15660464455122103,0.05241917217848002,2026-01-01,08:03:00,Thursday,3,8,Normal
2026-01-01 08:04:00,61.09792962269233,4.407094232431669,0.35014966455999774,-5.783199810090103,-0.29240507636015156,-0.03154585432668933,2026-01-01,08:04:00,Thursday,3,8,Normal
2026-01-01 08:05:00,62.39564098627537,4.891300898413473,0.36701049884341685,1.2977113635830406,0.4842066659818034,0.016860834283419113,2026-01-01,08:05:00,Thursday,3,8,Normal
2026-01-01 08:06:00,65.25568080633457,5.484083002449481,0.38350396211010945,2.8600398200591997,0.592782104036008,0.0164934632666926,2026-01-01,08:06:00,Thursday,3,8,Normal
2026-01-01 08:07:00,64.36751481531283,5.08697685429273,0.3312579268551195,-0.8881659910217365,-0.3971061481567508,-0.05224603525498994,2026-01-01,08:07:00,Thursday,3,8,Normal
2026-01-01 08:08:00,64.96639768499142,4.888085542790102,0.38781240818149026,0.5988828696785902,-0.19889131150262784,0.056554481326370754,2026-01-01,08:08:00,Thursday,3,8,Normal
2026-01-01 08:09:00,63.29391214485284,5.093016041900062,0.3689421301729197,-1.672485540138581,0.20493049910995964,-0.01887027800857055,2026-01-01,08:09:00,Thursday,3,8,Normal
2026-01-01 08:10:00,66.75879594972565,4.687808329401111,0.288259345654426,3.4648838048728123,-0.4052077124989504,-0.0806827845184937,2026-01-01,08:10:00,Thursday,3,8,Normal
2026-01-01 08:11:00,66.5555838708579,4.940535327460473,0.4221152395593122,-0.20321207886775028,0.2527269980593614,0.13385589390488617,2026-01-01,08:11:00,Thursday,3,8,Normal
2026-01-01 08:12:00,65.13206139512243,5.019895494603148,0.3249627628121542,-1.4235224757354672,0.07936016714267513,-0.09715247674715799,2026-01-01,08:12:00,Thursday,3,8,Normal
2026-01-01 08:13:00,67.25448241393606,4.98277986963579,0.26724523284074075,2.1224210188136254,-0.037115624967357874,-0.05771752997141344,2026-01-01,08:13:00,Thursday,3,8,Normal
2026-01-01 08:14:00,65.93501868450409,5.158161224338016,0.2977478145206849,-1.3194637294319733,0.1753813547022265,0.03050258167994413,2026-01-01,08:14:00,Thursday,3,8,Normal
2026-01-01 08:15:00,63.28141507423352,5.06892904524721,0.29894774196608387,-2.653603610270565,-0.08923217909080616,0.001199927445398985,2026-01-01,08:15:00,Thursday,3,8,Normal
2026-01-01 08:16:00,65.737501568165,5.133665203621599,0.35260866593287665,2.4560864939314797,0.06473615837438906,0.053660923966792784,2026-01-01,08:16:00,Thursday,3,8,Normal
2026-01-01 08:17:00,63.082234798342,4.862325543553848,0.3363074747226881,-2.655266769823001,-0.2713396600677509,-0.016301191210188526,2026-01-01,08:17:00,Thursday,3,8,Normal
